customer,product,2004_qty_month1,2004_qty_month2,2004_qty_month3,2004_qty_month4,2004_qty_month5,2004_qty_month6,2004_qty_month7,2004_qty_month8,2004_qty_month9,2004_qty_month10,2004_qty_month11,2004_qty_month12,2004_qty_quarter1,2004_qty_quarter2,2004_qty_quarter3,2004_qty_quarter4,2004_Total_qty
T010740927,PRD3,0,0,0,0,0,0,0,0,60,0,0,0,0,0,60,0,60
T010750942,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T010760925,PRD3,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,20
T010860238,PRD2,18,7,0,14,0,0,0,0,0,0,0,0,25,14,0,0,39
T010870104,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T027750323,PRD2,0,0,0,0,0,10,10,40,0,0,0,0,0,10,50,0,60
T027770511,PRD2,0,0,0,60,0,35,0,0,0,0,0,0,0,95,0,0,95
T027770511,PRD1,30,30,60,0,0,0,0,5,0,0,0,0,120,0,5,0,125
T030650205,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T030740246,PRD2,0,30,30,15,10,15,0,20,0,0,0,0,60,40,20,0,120
T030870324,PRD2,0,0,0,60,0,0,0,0,0,0,0,0,0,60,0,0,60
T036570077,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T036650093,PRD1,0,0,0,0,0,0,0,0,0,150,30,30,0,0,0,210,210
T036710540,PRD2,0,0,30,30,0,0,0,30,0,0,0,0,30,30,30,0,90
T036710540,PRD1,0,30,0,0,65,0,0,0,0,0,0,0,30,65,0,0,95
T036761155,PRD1,120,0,0,60,60,0,0,80,0,60,0,0,120,120,80,60,380
T036790146,PRD2,0,0,0,0,0,0,30,22,0,0,0,0,0,0,52,0,52
T036810580,PRD2,0,60,0,30,90,30,0,0,25,0,0,0,60,150,25,0,235
T036810580,PRD3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10
T036900092,PRD2,0,0,0,0,0,0,0,30,30,0,0,0,0,0,60,0,60
T038550902,PRD3,30,0,30,60,0,0,0,0,0,0,0,0,60,60,0,0,120
T038690120,PRD2,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,0,30
T038720480,PRD1,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,40
T038750627,PRD3,0,0,15,0,0,60,0,0,0,0,0,0,15,60,0,0,75
T038750627,PRD1,0,90,0,0,0,150,60,60,30,60,118,118,90,150,150,296,686
T038891091,PRD3,0,45,0,28,0,20,0,0,0,0,0,0,45,48,0,0,93
T038891091,PRD1,0,0,0,51,0,0,0,0,0,0,0,0,0,51,0,0,51
T038900595,PRD2,0,6,5,0,3,5,0,0,0,0,0,0,11,8,0,0,19
T042810152,PRD3,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,20
T042840430,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T042870536,PRD2,30,0,0,7,0,0,0,0,0,0,0,0,30,7,0,0,37
T042870536,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T045510197,PRD2,0,0,0,0,0,0,56,0,0,0,0,0,0,0,56,0,56
T045600295,PRD1,0,0,0,0,0,0,0,60,30,0,30,30,0,0,90,60,150
T045640580,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T045790997,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T045841071,PRD2,0,30,30,0,0,30,30,0,0,0,0,0,60,30,30,0,120
T045880988,PRD2,7,0,0,0,0,0,60,0,0,0,0,0,7,0,60,0,67
T047470282,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T047620374,PRD2,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,30
T047630711,PRD1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,30
T047720207,PRD2,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20
T047720207,PRD3,0,30,60,60,30,30,60,30,60,30,30,0,90,120,150,60,420
T047720207,PRD1,120,120,140,0,60,0,0,0,0,0,0,0,380,60,0,0,440
T047760104,PRD2,0,0,30,60,60,0,60,90,0,0,0,0,30,120,150,0,300
T047771094,PRD2,20,6,0,0,0,0,0,0,0,0,0,0,26,0,0,0,26
T047771094,PRD1,40,100,100,40,60,60,60,60,0,0,0,0,240,160,120,0,520
T047811212,PRD2,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,30
T047811212,PRD1,0,30,0,0,0,10,0,0,60,0,0,20,30,10,60,20,120
T047820922,PRD1,16,7,14,0,4,0,0,0,0,0,0,0,37,4,0,0,41
T047850129,PRD2,0,0,10,0,10,0,0,90,0,0,0,0,10,10,90,0,110
T047850129,PRD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T047850129,PRD1,30,0,30,60,30,30,30,0,0,0,0,0,60,120,30,0,210
T047890026,PRD2,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20
T047890026,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T050750259,PRD1,0,0,0,0,0,30,180,40,0,0,0,0,0,30,220,0,250
T050850744,PRD1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,28,0,28
T058550338,PRD2,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,30
T058550338,PRD1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,14
T058750714,PRD2,0,0,0,0,0,0,20,10,0,0,0,0,0,0,30,0,30
T058750714,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T058830441,PRD2,0,0,0,0,0,0,0,0,42,0,0,0,0,0,42,0,42
T058830441,PRD1,0,0,0,0,30,0,0,30,0,0,0,0,0,30,30,0,60
T058900096,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T059700479,PRD1,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,120,120
T063560918,PRD3,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,30
T063640083,PRD1,0,0,0,0,0,0,0,0,0,29,60,0,0,0,0,89,89
T063801528,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T067630212,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T067810442,PRD3,0,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15
T067870040,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T067890379,PRD2,31,62,31,62,0,62,0,0,0,0,0,0,124,124,0,0,248
T067890379,PRD3,30,60,60,60,0,60,30,60,30,30,90,120,150,120,120,240,630
T067890379,PRD1,60,120,120,180,60,90,60,180,30,60,120,90,300,330,270,270,1170
